symbol,date,return,corrected
SUPREMEIND,13-Nov-2006,-0.6678,0
SUPREMEIND,18-Oct-2010,-1.6177,0
MAX,12-Mar-2007,-1.5825,0
GUJAMBCEM,20-Jun-2005,-2.0292,0
HDFC,18-Aug-2010,-1.5777,0
KOTAKBANK,25-Aug-2004,-0.7103,0
KOTAKBANK,25-Aug-2005,-0.8295,0
KOTAKBANK,13-Sep-2010,-0.6426,0
ETERNEVRST,25-Mar-2004,-0.4265,0
ELGIEQUIP,14-Dec-2010,-0.7064,0
MAARSOFTW,13-Jun-2008,-0.3093,0
COROMANDEL,23-Dec-2010,-0.6918,0
MONSANTO,05-Oct-2011,-0.7225,0
EIDPARRY,27-May-2005,-1.5756,0
EIDPARRY,23-Dec-2010,-0.6930,0
ZEETELE,12-Feb-2007,-0.3354,0
UNITY,07-Apr-2010,-1.5300,0
HINDZINC,07-Mar-2011,-2.3292,0
MAHSEAMLES,18-Apr-2006,-0.6776,0
MORAREALTY,29-Dec-2004,-0.4443,0
3IINFOTECH,27-Aug-2007,-0.7060,0
PAPERPROD,25-May-2007,-1.6143,0
WSTCSTPAPR,26-Oct-2007,-1.5481,0
ABANLOYD,04-May-2005,-1.5766,0
SAREGAMA,04-Mar-2005,-0.2901,0
GOKEX,08-Feb-2007,-0.7098,0
AMTEKINDIA,08-Sep-2005,-1.5679,0
AMTEKINDIA,21-Nov-2011,-0.6438,0
SURYALAXMI,10-Oct-2005,-0.6828,0
WOCKPHARMA,29-Apr-2004,-1.0209,0
JISLJALEQS,29-Oct-2010,-1.5904,0
APOLLOHOSP,02-Sep-2010,-0.6997,0
ZEEL,11-Nov-2010,-0.6928,0
UNITECH,23-Jun-2006,-4.1254,0
UNITECH,30-Aug-2007,-0.7197,0
NAUKRI,27-Sep-2010,-0.6267,0
NAUKRI,22-Jun-2012,-0.6803,0
NIITLTD,24-Aug-2007,-1.9618,0
GODREJIND,25-Aug-2006,-1.7427,0
BOSCHCHASY,06-Jun-2007,-0.7273,0
CROMPGREAV,10-Aug-2006,-1.5588,0
CROMPGREAV,14-Dec-2006,-0.3072,0
CROMPGREAV,08-Mar-2010,-0.5720,0
CASTROL,09-Apr-2010,-0.6878,0
CASTROL,04-Sep-2012,-0.7274,0
LAKSHVILAS,17-Nov-2006,-0.6672,0
ORISSAMINE,29-Oct-2012,-2.3445,0
HCL-INSYS,08-Jul-2005,-1.5526,0
PENINLAND,16-Oct-2007,-1.5611,0
DCW,20-Sep-2005,-1.6248,0
DHANBANK,23-Jan-2008,-0.3787,0
OIL,29-Mar-2012,-0.9546,0
DSKULKARNI,13-Mar-2006,-0.3241,0
PANTALOONR,12-Dec-2006,-1.6206,0
HARRMALAYA,31-Aug-2010,-0.3276,0
INDHOTEL,27-Oct-2006,-2.2749,0
BPCL,13-Jul-2012,-0.7090,0
INDIABULLS,02-Jan-2007,-0.7711,0
INDIABULLS,01-Jan-2008,-0.3134,0
GVKPIL,08-Feb-2008,-2.2898,0
SESAGOA,16-Feb-2005,-0.7051,0
SESAGOA,08-Aug-2008,-2.9346,0
BHUSANSTL,21-Sep-2010,-1.6285,0
JAGSNPHARM,21-Jul-2004,-1.8316,0
BVXL,21-Nov-2006,-0.2700,0
SHOPERSTOP,12-Jan-2011,-0.7243,0
HAVELLS,04-Aug-2005,-0.6870,0
HAVELLS,20-Jul-2006,-0.6833,0
HAVELLS,08-Oct-2010,-0.6906,0
UNIPHOS,27-Sep-2005,-1.5219,0
UNIPHOS,29-Oct-2008,-0.6728,0
CRISIL,28-Sep-2011,-2.2793,0
KSOILS,18-Jul-2007,-2.1894,0
SWARAJENG,12-Aug-2005,-1.0687,0
RADICO,06-Jan-2006,-1.5806,0
TATATEA,30-Jun-2010,-2.2849,0
MARICOIND,06-May-2004,-0.6503,0
IOC,29-Oct-2009,-0.7142,0
VINYLINDIA,21-Jul-2008,-0.3881,0
INDIAINFO,08-Aug-2008,-1.5762,0
LAXMIMACH,13-Dec-2006,-2.2581,0
D-LINK,18-Jun-2009,-0.2951,0
MUNJALAU,29-Dec-2011,-1.5987,0
MLL,02-Feb-2006,-0.9376,0
GLENMARK,04-Mar-2005,-0.6711,0
GLENMARK,10-Sep-2007,-0.6578,0
MARICO,21-Feb-2007,-2.2827,0
SATYAMCOMP,09-Oct-2006,-0.6919,0
GSFC,20-Sep-2012,-1.5770,0
GREAVESCOT,24-Nov-2010,-1.6027,0
BAJAJ-AUTO,08-Sep-2010,-0.7053,0
TISCO,11-Aug-2004,-0.4521,0
BHEL,31-May-2007,-0.6822,0
BHEL,03-Oct-2011,-1.6342,0
GAMMONIND,15-Mar-2005,-1.5609,0
TVSMOTOR,08-Sep-2010,-0.6602,0
COX&KINGS,21-Jun-2011,-0.6525,0
ORBITCORP,29-Jun-2010,-0.7047,0
CMC,08-Jun-2011,-0.7077,0
SHRENUJ,23-Sep-2005,-1.5595,0
HOTELEELA,08-Sep-2006,-1.4375,0
LITL,04-Jan-2010,-2.2952,0
HINDCONS,08-Nov-2005,-2.2974,0
WIPRO,25-Jun-2004,-1.0913,0
WIPRO,22-Aug-2005,-0.6862,0
WIPRO,15-Jun-2010,-0.5018,0
MUNJALSHOW,16-Oct-2006,-1.6356,0
TAJGVK,10-Oct-2005,-1.6193,0
EDELWEISS,22-Jan-2008,-0.2561,0
EDELWEISS,10-Aug-2010,-2.2603,0
LT,28-Sep-2006,-0.7180,0
LT,01-Oct-2008,-0.6990,0
JINDALSAW,10-Dec-2009,-1.6158,0
BOMDYEING,30-Oct-2012,-1.5753,0
COREPROTEC,06-Jun-2007,-1.4279,0
SUNTV,23-Jul-2007,-1.3933,0
IVRCLINFRA,29-Mar-2006,-1.6099,0
IVRCLINFRA,18-Mar-2010,-0.6708,0
ORIENTPPR,01-Feb-2008,-2.3226,0
SUBROS,20-Nov-2007,-1.4385,0
DABUR,19-Jan-2006,-0.7153,0
DABUR,25-Jan-2007,-0.4668,0
DABUR,08-Sep-2010,-0.6983,0
AFTEKINFO,27-Jan-2005,-0.3109,0
MICO,09-Jul-2004,-2.2667,0
HTMEDIA,28-Dec-2006,-1.6014,0
CHEMPLAST,08-Mar-2006,-2.3473,0
HINDALC0,30-Aug-2005,-2.2796,0
KALPATPOWR,13-Apr-2006,-0.7639,0
KALPATPOWR,08-Sep-2010,-1.5795,0
CINEVISTA,22-Jan-2008,-1.5685,0
ZUARIAGRO,09-Apr-2012,-1.0280,0
FINCABLES,08-Jan-2007,-1.5914,0
BIOCON,11-Sep-2008,-0.6919,0
ESSELPACK,08-Jun-2006,-1.6755,0
