"Name","Symbol","Auto"
"20th Century Finance Corporation Ltd.","20THCENFIN",0
"AP Paper Mills Ltd.","APPAPER",0
"APR Ltd.","APRAYON",0
"ATV Projects India Ltd.","ATVPROJ",0
"Alpine Industries Ltd.","ALPINEIND",0
"Altos India Ltd.","ALTOS",0
"Ambalal Sarabhai Enterprises Ltd.","AMBASARABH",0
"Amrut Industries Ltd.","AMRUTIND",0
"Andhra Valley Power Supply Co. Ltd.","ANDRAVALLY",0
"Apple Credit Corporation Ltd.","APPLECREDT",0
"Aptech Ltd. (Erstwhile)","APTECH",0
"Arvind Polycot Ltd.","ARVINDPOLY",0
"Ashok Leyland Finance Ltd.","ASHKLEYFIN",0
"Asian Coffee Ltd.","ASIANCOFFE",0
"Atlas Copco (India) Ltd.","ATLASCOPCO",0
"Atlas Cycle (Haryana) Ltd.","ATLASCYCLE",0
"Bajaj Tempo Ltd.","BAJAJTEMPO",0
"Balaji Distilleries Ltd.","BALAJIDIST",0
"Baroda Rayon Corporation Ltd.","BARODARAYN",0
"Bell Ceramics Ltd.","BELLCERATL",0
"Bharti Telecom Ltd.-Suspended","BHARTITELE",0
"Birla Global Finance Ltd.","BGFL",0
"Blow Plast Ltd.","BLOWPLAST",0
"Bongaigaon Refinery & Petrochemicals Ltd.","BONGAIREFN",0
"Burroughs Wellcome (India) Ltd.","BURRWELCOM",0
"Cable Corporation of India Ltd.","CCI",0
"Caprihans India Ltd.","CAPRIHANS",0
"Carrier Aircon Ltd. ","CARRIERAIR",0
"Centak Chemicals Ltd.","CENTAKCHEM",0
"Cheminor Drugs Ltd.","CHEMNODRUG",0
"Chicago Pneumatic India Ltd.","CHICAGPNUM",0
"Chowgule Steamships Ltd.","CHOWGULSTM",0
"Clariant (India) Ltd.","CLARIANT",0
"DCL Polyesters Ltd.","DCLPOLY",0
"Dewan Rubber Industries Ltd.","DEWANRUB",0
"Dhampur Sugar Mills Ltd.","DHAMPURSUG",0
"Dharamsi Morarji Chemical Co. Ltd.","DHARAMORAR",0
"Elecon Engineering Co. Ltd.","ELECON",0
"Electrex (India) Ltd.","ELECTRX",0
"Excel Industries Ltd.- Arrangement","EXCELIND",0
"Flat Products Equipments (India) Ltd.","FLATPROD",0
