Index Name,Event Date,Scrip Name,Description
CNX 100,19-03-2003,Indo Gulf Corporation Ltd.,Exclusion from Index
CNX 100,19-03-2003,Steel Authority of India Ltd.,Inclusion into Index
CNX 100,01-04-2003,Abbott India Ltd.,Exclusion from Index
CNX 100,01-04-2003,Asian Paints Ltd.,Inclusion into Index
CNX 100,01-04-2003,Carrier Aircon Ltd. ,Exclusion from Index
CNX 100,01-04-2003,Hindustan Zinc Ltd.,Exclusion from Index
CNX 100,01-04-2003,IDBI Bank Ltd.,Inclusion into Index
CNX 100,01-04-2003,Oracle Financial Services Software Ltd.,Inclusion into Index
CNX 100,01-04-2003,Punjab National Bank,Inclusion into Index
CNX 100,01-04-2003,Tata Infotech Ltd.-Merged,Exclusion from Index
CNX 100,02-04-2003,Gillette India Ltd.,Exclusion from Index
CNX 100,02-04-2003,MphasiS Ltd.,Inclusion into Index
CNX 100,07-04-2003,Silverline Technologies Ltd. -Sus,Exclusion from Index
CNX 100,07-04-2003,TVS Motor Company Ltd.,Inclusion into Index
CNX 100,02-05-2003,Andhra Bank,Inclusion into Index
CNX 100,02-05-2003,Axis Bank Ltd.,Inclusion into Index
CNX 100,02-05-2003,Castrol (India) Ltd.,Exclusion from Index
CNX 100,02-05-2003,GAIL (India) Ltd.,Inclusion into Index
CNX 100,02-05-2003,German Remedies Ltd.,Exclusion from Index
CNX 100,02-05-2003,Madras Cements Ltd.,Exclusion from Index
CNX 100,02-05-2003,National Aluminium Co. Ltd.,Inclusion into Index
CNX 100,02-05-2003,Novartis India Ltd.,Exclusion from Index
CNX 100,02-05-2003,Orchid Chemicals & Pharmaceuticals Ltd.,Exclusion from Index
CNX 100,02-05-2003,Tata Teleservices (Maharashtra) Ltd.,Inclusion into Index
CNX 100,04-08-2003,Bharti Airtel Ltd.,Inclusion into Index
CNX 100,04-08-2003,Global Trust Bank Ltd.,Exclusion from Index
CNX 100,04-08-2003,Nestle India Ltd.,Exclusion from Index
CNX 100,04-08-2003,Nirma Ltd.,Inclusion into Index
CNX 100,04-08-2003,Pentamedia Graphics Ltd.,Exclusion from Index
CNX 100,04-08-2003,Union Bank of India,Inclusion into Index
CNX 100,01-03-2004,Akzo Nobel India Ltd.,Exclusion from Index
CNX 100,01-03-2004,Bharat Forge Ltd.,Inclusion into Index
CNX 100,01-03-2004,Bongaigaon Refinery & Petrochemicals Ltd.,Inclusion into Index
