"Index Name","Event Date","Scrip Name","Description"
"S&P CNX 500 Equity Index","01/08/1998","20th Century Finance Corporation Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","3M India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","ABB Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","ACC Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","AGC Networks Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","AP Paper Mills Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","APR Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","ATV Projects India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Aban Offshore Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Abbott India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Adani Enterprises Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Aditya Birla Nuvo Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ador Welding Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Agro Tech Foods Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ahmednagar Forgings Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Akzo Nobel India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Alembic Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Alfa Laval (India) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Alpic Finance Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Alpine Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Altos India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ambalal Sarabhai Enterprises Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ambuja Cements Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Amrut Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Andhra Valley Power Supply Co. Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Apollo Hospitals Enterprises Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Apollo Tyres Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Apple Credit Corporation Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Apple Finance Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Aptech Ltd. (Erstwhile)","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Arvind Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Arvind Polycot Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ashok Leyland Finance Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ashok Leyland Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Asian Coffee Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Asian Electronics Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Asian Hotels (North) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Asian Paints Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Assam Company India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","AstraZenca Pharma India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Atcom Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Atlas Copco (India) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Atlas Cycle (Haryana) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Atul Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Automotive Axles Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Autoriders Finance Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Aventis Pharma Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","BASF India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","BEML Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","BIL Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","BOC India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","BPL Engineering Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","BPL Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bajaj Auto Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bajaj Finance Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bajaj Hindusthan Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bajaj Tempo Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Balaji Distilleries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Ballarpur Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Balrampur Chini Mills Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bank of Baroda","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bank of India","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bannari Amman Sugars Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Baroda Rayon Corporation Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bata India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bayer Cropscience Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bell Ceramics Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Berger Paints India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bharat Bijlee Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bharat Electronics Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bharat Forge Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bharat Heavy Electricals Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bharat Petroleum Corporation Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Bharti Telecom Ltd.-Suspended","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Binani Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Birla Corporation Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Birla Global Finance Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","01/08/1998","Birla Power Solutions Ltd.","Inclusion into Index"
