"Company Name","Industry","Symbol","Series","ISIN Code"
"3M India Ltd.","TRADING","3MINDIA","EQ","INE470A01017"
"ABB Ltd.","ELECTRICAL EQUIPMENT","ABB","EQ","INE117A01022"
"ABG Shipyard Ltd.","SHIPPING","ABGSHIP","EQ","INE067H01016"
"ACC Ltd.","CEMENT AND CEMENT PRODUCTS","ACC","EQ","INE012A01025"
"AIA Engineering Ltd.","ELECTRICAL EQUIPMENT","AIAENG","EQ","INE212H01026"
"Aarti Industries Ltd.","CHEMICALS - SPECIALITY","AARTIIND","EQ","INE769A01020"
"Aban Offshore Ltd.","OIL EXPLORATION/PRODUCTION","ABAN","EQ","INE421A01028"
"Adani Enterprises Ltd.","TRADING","ADANIENT","EQ","INE423A01024"
"Adani Ports and Special Economic Zone Ltd.","SHIPPING","ADANIPORTS","EQ","INE742F01042"
"Adani Power Ltd.","POWER","ADANIPOWER","EQ","INE814H01011"
"Aditya Birla Nuvo Ltd.","DIVERSIFIED","ABIRLANUVO","EQ","INE069A01017"
"Advanta India Ltd.","FOOD AND FOOD PROCESSING","ADVANTA","EQ","INE517H01010"
"Agro Tech Foods Ltd.","SOLVENT EXTRACTION","ATFL","EQ","INE209A01019"
"Akzo Nobel India Ltd.","PAINTS","AKZOINDIA","EQ","INE133A01011"
"Allahabad Bank","BANKS","ALBK","EQ","INE428A01015"
"Allcargo Logistics Ltd.","TRAVEL AND TRANSPORT","ALLCARGO","EQ","INE418H01029"
"Alok Industries Ltd.","TEXTILE PRODUCTS","ALOKTEXT","EQ","INE270A01011"
"Alstom India Ltd.","ELECTRICAL EQUIPMENT","AIL","EQ","INE878A01011"
"Alstom T&D India Ltd.","ELECTRICAL EQUIPMENT","ALSTOMT&D","EQ","INE200A01026"
"Amara Raja Batteries Ltd.","AUTO ANCILLARIES","AMARAJABAT","EQ","INE885A01032"
"Ambuja Cements Ltd.","CEMENT AND CEMENT PRODUCTS","AMBUJACEM","EQ","INE079A01024"
"Amtek Auto Ltd.","AUTO ANCILLARIES","AMTEKAUTO","EQ","INE130C01021"
"Amtek India Ltd.","AUTO ANCILLARIES","AMTEKINDIA","EQ","INE068D01021"
"Anant Raj Ltd.","CONSTRUCTION","ANANTRAJ","EQ","INE242C01024"
"Andhra Bank","BANKS","ANDHRABANK","EQ","INE434A01013"
"Ansal Properties & Infrastructure Ltd.","CONSTRUCTION","ANSALAPI","EQ","INE436A01026"
"Apollo Hospitals Enterprises Ltd.","MISCELLANEOUS","APOLLOHOSP","EQ","INE437A01024"
"Apollo Tyres Ltd.","TYRES","APOLLOTYRE","EQ","INE438A01022"
"Aptech Ltd.","COMPUTERS - SOFTWARE","APTECHT","EQ","INE266F01018"
"Arshiya International Ltd.","TRAVEL AND TRANSPORT","ARSHIYA","EQ","INE968D01022"
"Arvind Ltd.","TEXTILE PRODUCTS","ARVIND","EQ","INE034A01011"
"Asahi India Glass Ltd.","AUTO ANCILLARIES","ASAHIINDIA","EQ","INE439A01020"
"Ashok Leyland Ltd.","AUTOMOBILES - 4 WHEELERS","ASHOKLEY","EQ","INE208A01029"
"Asian Paints Ltd.","PAINTS","ASIANPAINT","EQ","INE021A01018"
"AstraZenca Pharma India Ltd.","PHARMACEUTICALS","ASTRAZEN","EQ","INE203A01020"
"Atul Ltd.","CHEMICALS - SPECIALITY","ATUL","EQ","INE100A01010"
"Aurobindo Pharma Ltd.","PHARMACEUTICALS","AUROPHARMA","EQ","INE406A01037"
"Autoline Industries Ltd.","AUTO ANCILLARIES","AUTOIND","EQ","INE718H01014"
"Automotive Axles Ltd.","AUTO ANCILLARIES","AUTOAXLES","EQ","INE449A01011"
"Axis Bank Ltd.","BANKS","AXISBANK","EQ","INE238A01026"
"BASF India Ltd.","CHEMICALS - SPECIALITY","BASF","EQ","INE373A01013"
"BEML Ltd.","ENGINEERING","BEML","EQ","INE258A01016"
"BF Utilities Ltd.","CONSTRUCTION","BFUTILITIE","EQ","INE243D01012"
"BGR Energy Systems Ltd","ENGINEERING","BGRENERGY","EQ","INE661I01014"
"BOC India Ltd.","GAS","BOC","EQ","INE473A01011"
"Bajaj Auto Ltd.","AUTOMOBILES - 2 AND 3 WHEELERS","BAJAJ-AUTO","EQ","INE917I01010"
"Bajaj Electricals Ltd","CONSUMER DURABLES","BAJAJELEC","EQ","INE193E01025"
"Bajaj Finance Ltd.","FINANCE","BAJFINANCE","EQ","INE296A01016"
"Bajaj Finserv Ltd.","FINANCE","BAJAJFINSV","EQ","INE918I01018"
"Bajaj Hindusthan Ltd.","SUGAR","BAJAJHIND","EQ","INE306A01021"
"Bajaj Holdings & Investment Ltd.","FINANCE","BAJAJHLDNG","EQ","INE118A01012"
"Balkrishna Industries Ltd.","TYRES","BALKRISIND","EQ","INE787D01026"
"Ballarpur Industries Ltd.","PAPER AND PAPER PRODUCTS","BALLARPUR","EQ","INE294A01037"
"Balmer Lawrie & Co. Ltd.","TRAVEL AND TRANSPORT","BALMLAWRIE","EQ","INE164A01016"
"Balrampur Chini Mills Ltd.","SUGAR","BALRAMCHIN","EQ","INE119A01028"
"Banco Products (India) Ltd.","AUTO ANCILLARIES","BANCOINDIA","EQ","INE213C01025"
"Bank of Baroda","BANKS","BANKBARODA","EQ","INE028A01013"
"Bank of India","BANKS","BANKINDIA","EQ","INE084A01016"
"Bannari Amman Sugars Ltd.","SUGAR","BANARISUG","EQ","INE459A01010"
"Bata India Ltd.","LEATHER AND LEATHER PRODUCTS","BATAINDIA","EQ","INE176A01010"
"Berger Paints India Ltd.","PAINTS","BERGEPAINT","EQ","INE463A01020"
"Bhansali Engineering Polymers Ltd.","PETROCHEMICALS","BEPL","EQ","INE922A01025"
"Bharat Electronics Ltd.","ELECTRONICS - INDUSTRIAL","BEL","EQ","INE263A01016"
"Bharat Forge Ltd.","CASTINGS/FORGINGS","BHARATFORG","EQ","INE465A01025"
"Bharat Heavy Electricals Ltd.","ELECTRICAL EQUIPMENT","BHEL","EQ","INE257A01026"
"Bharat Petroleum Corporation Ltd.","REFINERIES","BPCL","EQ","INE029A01011"
"Bharti Airtel Ltd.","TELECOMMUNICATION - SERVICES","BHARTIARTL","EQ","INE397D01024"
"Bhushan Steel Ltd.","STEEL AND STEEL PRODUCTS","BHUSANSTL","EQ","INE824B01021"
"Biocon Ltd.","PHARMACEUTICALS","BIOCON","EQ","INE376G01013"
"Birla Corporation Ltd.","CEMENT AND CEMENT PRODUCTS","BIRLACORPN","EQ","INE340A01012"
"Blue Dart Express Ltd.","TRAVEL AND TRANSPORT","BLUEDART","EQ","INE233B01017"
"Blue Star Ltd.","AIRCONDITIONERS","BLUESTARCO","EQ","INE472A01039"
"Bombay Burmah Trading Corporation Ltd.","FOOD AND FOOD PROCESSING","BBTC","EQ","INE050A01025"
"Bombay Dyeing & Manufacturing Co. Ltd.","TEXTILES - SYNTHETIC","BOMDYEING","EQ","INE032A01023"
"Bombay Rayon Fashions Ltd.","TEXTILE PRODUCTS","BRFL","EQ","INE589G01011"
"Bosch Ltd.","AUTO ANCILLARIES","BOSCHLTD","EQ","INE323A01026"
"Brigade Enterprises Ltd.","CONSTRUCTION","BRIGADE","EQ","INE791I01019"
"Britannia Industries Ltd.","FOOD AND FOOD PROCESSING","BRITANNIA","EQ","INE216A01022"
"CESC Ltd.","POWER","CESC","EQ","INE486A01013"
"CMC Ltd.","COMPUTERS - SOFTWARE","CMC","EQ","INE314A01017"
"CORE Education & Technologies Ltd.","COMPUTERS - SOFTWARE","COREEDUTEC","EQ","INE247G01024"
"CRISIL Ltd.","FINANCE","CRISIL","EQ","INE007A01025"
"Cadila Healthcare Ltd.","PHARMACEUTICALS","CADILAHC","EQ","INE010B01019"
"Cairn India Ltd.","OIL EXPLORATION/PRODUCTION","CAIRN","EQ","INE910H01017"
"Can Fin Homes Ltd.","FINANCE - HOUSING","CANFINHOME","BE","INE477A01012"
"Canara Bank","BANKS","CANBK","EQ","INE476A01014"
"Capital First Ltd.","FINANCE","CAPF","EQ","INE688I01017"
"Carborundum Universal Ltd.","ABRASIVES","CARBORUNIV","EQ","INE120A01034"
"Castrol (India) Ltd.","PETROCHEMICALS","CASTROL","EQ","INE172A01019"
"Central Bank of India","BANKS","CENTRALBK","EQ","INE483A01010"
"Century Enka Ltd.","TEXTILES - SYNTHETIC","CENTENKA","EQ","INE485A01015"
"Century Plyboards (India) Ltd.","CONSTRUCTION","CENTURYPLY","EQ","INE348B01021"
"Century Textile & Industries Ltd.","CEMENT AND CEMENT PRODUCTS","CENTURYTEX","EQ","INE055A01016"
"Chambal Fertilizers & Chemicals Ltd.","FERTILISERS","CHAMBLFERT","EQ","INE085A01013"
"Chennai Petroleum Corporation Ltd.","REFINERIES","CHENNPETRO","EQ","INE178A01016"
"Cholamandalam Investment and Finance Company Ltd.","FINANCE","CHOLAFIN","EQ","INE121A01016"
"Cipla Ltd.","PHARMACEUTICALS","CIPLA","EQ","INE059A01026"
"City Union Bank Ltd.","BANKS","CUB","EQ","INE491A01021"
"Clariant Chemicals (India) Ltd.","DYES AND PIGMENTS","CLNINDIA","EQ","INE492A01029"
"Coal India Ltd.","MINING","COALINDIA","EQ","INE522F01014"
"Colgate Palmolive (India) Ltd.","PERSONAL CARE","COLPAL","EQ","INE259A01022"
"Container Corporation of India Ltd.","TRAVEL AND TRANSPORT","CONCOR","EQ","INE111A01017"
"Coromandel International Ltd.","FERTILISERS","COROMANDEL","EQ","INE169A01031"
"Corporation Bank","BANKS","CORPBANK","EQ","INE112A01015"
"Cox & Kings Ltd.","TRAVEL AND TRANSPORT","COX&KINGS","EQ","INE008I01026"
"Crompton Greaves Ltd.","ELECTRICAL EQUIPMENT","CROMPGREAV","EQ","INE067A01029"
"Cummins India Ltd.","DIESEL ENGINES","CUMMINSIND","EQ","INE298A01020"
"D B Realty Ltd.","CONSTRUCTION","DBREALTY","EQ","INE879I01012"
"DCM Shriram Consolidated Ltd.","DIVERSIFIED","DCMSRMCONS","EQ","INE499A01024"
"DCW Ltd.","CHEMICALS - INORGANIC","DCW","EQ","INE500A01029"
"DLF Ltd.","CONSTRUCTION","DLF","EQ","INE271C01023"
"Dabur India Ltd.","PERSONAL CARE","DABUR","EQ","INE016A01026"
"Deepak Fertilisers & Petrochemicals Corp. Ltd.","CHEMICALS - INORGANIC","DEEPAKFERT","EQ","INE501A01019"
"Delta Corp Ltd.","CONSTRUCTION","DELTACORP","EQ","INE124G01033"
"Dena Bank","BANKS","DENABANK","EQ","INE077A01010"
"Development Credit Bank Ltd","BANKS","DCB","EQ","INE503A01015"
"Dewan Housing Finance Corporation Ltd.","FINANCE - HOUSING","DHFL","EQ","INE202B01012"
"Dhanlaxmi Bank Ltd.","BANKS","DHANBANK","EQ","INE680A01011"
"Dish TV India Ltd.","MEDIA & ENTERTAINMENT","DISHTV","EQ","INE836F01026"
"Dishman Pharmaceuticals & Chemicals Ltd.","PHARMACEUTICALS","DISHMAN","EQ","INE353G01020"
"Divi's Laboratories Ltd.","PHARMACEUTICALS","DIVISLAB","EQ","INE361B01024"
"Dr. Reddy's Laboratories Ltd.","PHARMACEUTICALS","DRREDDY","EQ","INE089A01023"
"Dredging Corporation of India Ltd.","SHIPPING","DREDGECORP","EQ","INE506A01018"
"Dynamatic Technologies Ltd.","COMPRESSORS / PUMPS","DYNAMATECH","EQ","INE221B01012"
"E.I.D. Parry (India) Ltd.","SUGAR","EIDPARRY","EQ","INE126A01031"
"EIH Ltd.","HOTELS","EIHOTEL","EQ","INE230A01023"
"ESAB India Ltd.","ELECTRODES","ESABINDIA","EQ","INE284A01012"
