Month,Symbol
0213,3MINDIA
0213,AARTIIND
0213,ABAN
0213,ABB
0213,ABGSHIP
0213,ABIRLANUVO
0213,ACC
0213,ADANIENT
0213,ADANIPORTS
0213,ADANIPOWER
0213,ADVANTA
0213,AIAENG
0213,AIL
0213,AKZOINDIA
0213,ALBK
0213,ALLCARGO
0213,ALOKTEXT
0213,ALSTOMT&D
0213,AMARAJABAT
0213,AMBUJACEM
0213,AMTEKAUTO
0213,AMTEKINDIA
0213,ANANTRAJ
0213,ANDHRABANK
0213,ANSALAPI
0213,APOLLOHOSP
0213,APOLLOTYRE
0213,APTECHT
0213,ARSHIYA
0213,ARVIND
0213,ASAHIINDIA
0213,ASHOKLEY
0213,ASIANPAINT
0213,ASTRAZEN
0213,ATFL
0213,ATUL
0213,AUROPHARMA
0213,AUTOAXLES
0213,AUTOIND
0213,AXISBANK
0213,BAJAJ-AUTO
0213,BAJAJELEC
0213,BAJAJFINSV
0213,BAJAJHIND
0213,BAJAJHLDNG
0213,BAJFINANCE
0213,BALKRISIND
0213,BALLARPUR
0213,BALMLAWRIE
0213,BALRAMCHIN
0213,BANARISUG
0213,BANCOINDIA
0213,BANKBARODA
0213,BANKINDIA
0213,BASF
0213,BATAINDIA
0213,BBTC
0213,BEL
0213,BEML
0213,BEPL
0213,BERGEPAINT
0213,BFUTILITIE
0213,BGRENERGY
0213,BHARATFORG
0213,BHARTIARTL
0213,BHEL
0213,BHUSANSTL
0213,BINDALAGRO
0213,BIOCON
0213,BIRLACORPN
0213,BLUEDART
0213,BLUESTARCO
0213,BOC
0213,BOMDYEING
0213,BOSCHLTD
0213,BPCL
0213,BRFL
0213,BRIGADE
0213,BRITANNIA
0213,CADILAHC
0213,CAIRN
0213,CANBK
0213,CANFINHOME
0213,CAPF
0213,CARBORUNIV
0213,CASTROL
0213,CENTENKA
0213,CENTRALBK
0213,CENTURYPLY
0213,CENTURYTEX
0213,CESC
0213,CHAMBLFERT
0213,CHENNPETRO
0213,CHOLAFIN
0213,CIPLA
0213,CLNINDIA
0213,CMC
0213,COALINDIA
0213,COLPAL
0213,CONCOR
0213,COREEDUTEC
0213,COROMANDEL
0213,CORPBANK
0213,COX&KINGS
0213,CRISIL
0213,CROMPGREAV
0213,CUB
0213,CUMMINSIND
0213,DABUR
0213,DBREALTY
0213,DCB
0213,DCMSRMCONS
0213,DCW
0213,DEEPAKFERT
0213,DELTACORP
0213,DENABANK
0213,DHANBANK
0213,DHFL
0213,DISHMAN
0213,DISHTV
0213,DIVISLAB
0213,DLF
0213,DREDGECORP
0213,DRREDDY
0213,DYNAMATECH
0213,ECLERX
0213,EDELWEISS
0213,EDUCOMP
0213,EICHERMOT
0213,EIDPARRY
0213,EIHOTEL
0213,ELDERPHARM
0213,ELECTCAST
0213,ELGIEQUIP
0213,EMAMILTD
0213,ENGINERSIN
0213,ENIL
0213,ERAINFRA
0213,EROSMEDIA
0213,ESABINDIA
0213,ESCORTS
0213,ESSAROIL
0213,ESSELPACK
0213,EXIDEIND
0213,FAGBEARING
0213,FDC
0213,FEDERALBNK
0213,FINANTECH
0213,FINCABLES
0213,FINPIPE
0213,FKONCO
0213,FLEXITUFF
0213,FMGOETZE
0213,FORTIS
0213,FSL
0213,FUTUREVENT
0213,GAIL
0213,GAMMNINFRA
0213,GAMMONIND
0213,GATI
0213,GDL
0213,GEOJITBNPP
0213,GEOMETRIC
0213,GESHIP
0213,GHCL
0213,GILLETTE
0213,GIPCL
0213,GITANJALI
0213,GLAXO
0213,GLENMARK
0213,GMDCLTD
0213,GMRINFRA
0213,GNFC
0213,GODFRYPHLP
0213,GODREJCP
0213,GODREJIND
0213,GODREJPROP
0213,GPPL
0213,GRAPHITE
0213,GRASIM
0213,GREAVESCOT
0213,GSFC
0213,GSKCONS
0213,GSPL
0213,GTL
0213,GTOFFSHORE
0213,GUJALKALI
0213,GUJFLUORO
0213,GUJNRECOKE
0213,GUJRATGAS
0213,GVKPIL
0213,HATHWAY
0213,HAVELLS
0213,HCC
0213,HCL-INSYS
0213,HCLTECH
0213,HDFC
0213,HDFCBANK
0213,HDIL
0213,HEG
0213,HEROMOTOCO
0213,HEXAWARE
0213,HFCL
0213,HIMATSEIDE
0213,HINDALCO
0213,HINDOILEXP
0213,HINDPETRO
0213,HINDUNILVR
0213,HINDZINC
0213,HONAUT
0213,HOTELEELA
0213,HSIL
0213,HTMEDIA
0213,HUBTOWN
0213,IBPOW
0213,IBREALEST
0213,IBSEC
0213,ICICIBANK
0213,ICRA
0213,IDBI
0213,IDEA
0213,IDFC
0213,IFCI
0213,IGL
0213,IL&FSENGG
0213,INDHOTEL
0213,INDIABULLS
0213,INDIACEM
0213,INDIAGLYCO
0213,INDIAINFO
0213,INDIANB
0213,INDORAMA
0213,INDRAMEDCO
0213,INDSWFTLAB
0213,INDUSINDBK
0213,INFOTECENT
0213,INFY
0213,INGERRAND
0213,INGVYSYABK
0213,INNOIND
0213,IOB
0213,IOC
0213,IPCALAB
0213,IRB
0213,ITC
0213,IVRCLINFRA
0213,J&KBANK
0213,JAGRAN
0213,JAIBALAJI
0213,JAICORPLTD
0213,JBCHEPHARM
0213,JBFIND
0213,JETAIRWAYS
0213,JINDALPOLY
0213,JINDALSAW
0213,JINDALSTEL
0213,JINDALSWHL
0213,JISLJALEQS
0213,JKIL
0213,JKTYRE
0213,JMFINANCIL
0213,JPASSOCIAT
0213,JPINFRATEC
0213,JPPOWER
0213,JSL
0213,JSWENERGY
0213,JSWISPAT
0213,JSWSTEEL
0213,JUBILANT
0213,JUBLFOOD
0213,JYOTISTRUC
0213,KAJARIACER
0213,KALPATPOWR
0213,KANSAINER
0213,KARURVYSYA
0213,KCP
0213,KEC
0213,KEMROCK
0213,KESORAMIND
0213,KGL
0213,KOTAKBANK
0213,KPIT
0213,KSBPUMPS
0213,KSK
0213,KSOILS
0213,KTKBANK
0213,KWALITY
0213,L&TFH
0213,LAKSHVILAS
0213,LAXMIMACH
0213,LICHSGFIN
0213,LITL
0213,LOVABLE
0213,LT
0213,LUPIN
0213,M&M
0213,M&MFIN
0213,MADRASCEM
0213,MAHLIFE
0213,MAHSEAMLES
0213,MANDHANA
0213,MANGCHEFER
0213,MANINFRA
0213,MARICO
0213,MARUTI
0213,MASTEK
0213,MAX
0213,MCDOWELL-N
0213,MCLEODRUSS
0213,MERCATOR
0213,MERCK
0213,MINDTREE
0213,MOIL
0213,MONNETISPA
0213,MONSANTO
0213,MOTHERSUMI
0213,MOTILALOFS
0213,MPHASIS
0213,MRF
0213,MRPL
0213,MTNL
0213,MUTHOOTFIN
0213,MVL
0213,NATIONALUM
0213,NAUKRI
0213,NAVNETPUBL
0213,NBVENTURES
0213,NCC
0213,NETWORK18
0213,NEYVELILIG
0213,NHPC
0213,NIITLTD
0213,NILKAMAL
0213,NMDC
0213,NOIDATOLL
0213,NTPC
0213,OBEROIRLTY
0213,OFSS
0213,OIL
0213,OMAXE
0213,ONGC
0213,OPTOCIRCUI
0213,ORBITCORP
0213,ORCHIDCHEM
0213,ORIENTBANK
0213,ORIENTHOT
0213,ORIENTPPR
0213,ORISSAMINE
0213,PAGEIND
0213,PANTALOONR
0213,PARSVNATH
0213,PATELENG
0213,PEL
0213,PENINLAND
0213,PERSISTENT
0213,PETRONET
0213,PFC
0213,PFIZER
0213,PFOCUS
0213,PGHH
0213,PHOENIXLTD
0213,PIDILITIND
0213,PIPAVAVDOC
0213,PNB
0213,POLARIS
0213,POWERGRID
0213,PRAJIND
0213,PRAKASH
0213,PRESTIGE
0213,PRISMCEM
0213,PSL
0213,PTC
0213,PUNJLLOYD
0213,PURVA
0213,RADICO
0213,RAJESHEXPO
0213,RALLIS
0213,RAMCOIND
0213,RAMKY
0213,RANBAXY
0213,RAYMOND
0213,RCF
0213,RCOM
0213,RECLTD
0213,REDINGTON
0213,REIAGROLTD
0213,RELCAPITAL
0213,RELIANCE
0213,RELIGARE
0213,RELINFRA
0213,RENUKA
0213,RIIL
0213,ROLTA
0213,RPOWER
0213,RUCHISOYA
0213,SADBHAV
0213,SAIL
0213,SANOFI
0213,SBBJ
0213,SBIN
0213,SBT
0213,SCI
0213,SEINV
0213,SESAGOA
0213,SHANTIGEAR
0213,SHASUNPHAR
0213,SHLAKSHMI
0213,SHOPERSTOP
0213,SHREEASHTA
0213,SHREECEM
0213,SHRENUJ
0213,SHRIRAMCIT
0213,SIEMENS
0213,SIMPLEXINF
0213,SINTEX
0213,SKFINDIA
0213,SKSMICRO
0213,SKUMARSYNF
0213,SOBHA
0213,SONASTEER
0213,SONATSOFTW
0213,SOUTHBANK
0213,SREINFRA
0213,SRF
0213,SRTRANSFIN
0213,STAR
0213,STERLINBIO
0213,STRTECH
0213,SUJANATOW
0213,SUNDARMFIN
0213,SUNDRMFAST
0213,SUNPHARMA
0213,SUNTECK
0213,SUNTV
0213,SUPPETRO
0213,SUPREMEIND
0213,SUPREMEINF
0213,SUZLON
0213,SWARAJENG
0213,SYNDIBANK
0213,TATACHEM
0213,TATACOFFEE
0213,TATACOMM
0213,TATAELXSI
0213,TATAGLOBAL
0213,TATAINVEST
0213,TATAMOTORS
0213,TATAPOWER
0213,TATASPONGE
0213,TATASTEEL
0213,TCS
0213,TDPOWERSYS
0213,TECHM
0213,TECHNO
0213,THERMAX
0213,THOMASCOOK
0213,TINPLATE
0213,TITAN
0213,TNPL
0213,TORNTPHARM
0213,TORNTPOWER
0213,TREEHOUSE
0213,TRENT
0213,TTKPRESTIG
0213,TUBEINVEST
0213,TULIP
0213,TV18BRDCST
0213,TVSMOTOR
0213,UBHOLDINGS
0213,UBL
0213,UCOBANK
0213,UFLEX
0213,ULTRACEMCO
0213,UNICHEMLAB
0213,UNIONBANK
0213,UNIPHOS
0213,UNITECH
0213,UNITY
0213,USHAMART
0213,UTTAMSTL
0213,VAKRANSOFT
0213,VARUNSHIP
0213,VENKEYS
0213,VESUVIUS
0213,VIDEOIND
0213,VIJAYABANK
0213,VIPIND
0213,VOLTAS
0213,VSTIND
0213,WABCOINDIA
0213,WELCORP
0213,WHIRLPOOL
0213,WIPRO
0213,WSTCSTPAPR
0213,WYETH
0213,YESBANK
0213,ZEEL
0213,ZENSARTECH
0213,ZODIACLOTH
0213,ZYDUSWELL
0113,3MINDIA
0113,AARTIIND
0113,ABAN
0113,ABB
0113,ABGSHIP
0113,ABIRLANUVO
0113,ACC
0113,ADANIENT
0113,ADANIPORTS
0113,ADANIPOWER
0113,ADVANTA
0113,AIAENG
0113,AIL
0113,AKZOINDIA
0113,ALBK
0113,ALLCARGO
0113,ALOKTEXT
0113,ALSTOMT&D
0113,AMARAJABAT
0113,AMBUJACEM
0113,AMTEKAUTO
0113,AMTEKINDIA
0113,ANANTRAJ
0113,ANDHRABANK
0113,ANSALAPI
0113,APOLLOHOSP
0113,APOLLOTYRE
0113,APTECHT
0113,ARSHIYA
0113,ARVIND
0113,ASAHIINDIA
0113,ASHOKLEY
0113,ASIANPAINT
0113,ASTRAZEN
0113,ATFL
0113,ATUL
0113,AUROPHARMA
0113,AUTOAXLES
0113,AUTOIND
0113,AXISBANK
0113,BAJAJ-AUTO
0113,BAJAJELEC
0113,BAJAJFINSV
0113,BAJAJHIND
0113,BAJAJHLDNG
0113,BAJFINANCE
0113,BALKRISIND
0113,BALLARPUR
0113,BALMLAWRIE
0113,BALRAMCHIN
0113,BANARISUG
0113,BANCOINDIA
0113,BANKBARODA
0113,BANKINDIA
0113,BASF
0113,BATAINDIA
0113,BBTC
0113,BEL
0113,BEML
0113,BEPL
0113,BERGEPAINT
0113,BFUTILITIE
0113,BGRENERGY
0113,BHARATFORG
0113,BHARTIARTL
0113,BHEL
0113,BHUSANSTL
0113,BINDALAGRO
0113,BIOCON
0113,BIRLACORPN
0113,BLUEDART
0113,BLUESTARCO
0113,BOC
0113,BOMDYEING
0113,BOSCHLTD
0113,BPCL
0113,BRFL
0113,BRIGADE
0113,BRITANNIA
0113,CADILAHC
0113,CAIRN
0113,CANBK
0113,CANFINHOME
0113,CAPF
0113,CARBORUNIV
0113,CASTROL
0113,CENTENKA
0113,CENTRALBK
0113,CENTURYPLY
0113,CENTURYTEX
0113,CESC
0113,CHAMBLFERT
0113,CHENNPETRO
0113,CHOLAFIN
0113,CIPLA
0113,CLNINDIA
0113,CMC
0113,COALINDIA
0113,COLPAL
0113,CONCOR
0113,COREEDUTEC
0113,COROMANDEL
0113,CORPBANK
0113,COX&KINGS
0113,CRISIL
0113,CROMPGREAV
0113,CUB
0113,CUMMINSIND
0113,DABUR
0113,DBREALTY
0113,DCB
0113,DCHL
0113,DCMSRMCONS
0113,DCW
0113,DEEPAKFERT
0113,DELTACORP
0113,DENABANK
0113,DHANBANK
0113,DHFL
0113,DISHMAN
0113,DISHTV
0113,DIVISLAB
0113,DLF
0113,DREDGECORP
0113,DRREDDY
0113,DYNAMATECH
0113,ECLERX
0113,EDELWEISS
0113,EDUCOMP
0113,EICHERMOT
0113,EIDPARRY
0113,EIHOTEL
0113,ELDERPHARM
0113,ELECTCAST
0113,ELGIEQUIP
0113,EMAMILTD
0113,ENGINERSIN
0113,ENIL
0113,ERAINFRA
0113,EROSMEDIA
0113,ESABINDIA
0113,ESCORTS
0113,ESSAROIL
0113,ESSELPACK
0113,EXIDEIND
0113,FAGBEARING
0113,FDC
0113,FEDERALBNK
0113,FINANTECH
0113,FINCABLES
0113,FINPIPE
0113,FKONCO
0113,FLEXITUFF
0113,FMGOETZE
0113,FORTIS
0113,FSL
0113,FUTUREVENT
0113,GAIL
0113,GAMMNINFRA
0113,GAMMONIND
0113,GATI
0113,GDL
0113,GEOJITBNPP
