"Name","Symbol","Auto"
"20th Century Finance Corporation Ltd.","20THCENFIN",0
"3M India Ltd.","3MINDIA",1
"ABB Ltd.","ABB",1
"ACC Ltd.","ACC",1
"AGC Networks Ltd.","01/08/98",0
"AP Paper Mills Ltd.","APPAPER",0
"APR Ltd.","APRAYON",0
"ATV Projects India Ltd.","01/08/98",0
"Aban Offshore Ltd.","ABAN",1
"Abbott India Ltd.","01/08/98",0
"Adani Enterprises Ltd.","ADANIENT",1
"Aditya Birla Nuvo Ltd.","ABIRLANUVO",1
"Ador Welding Ltd.","ADORWELD",1
"Agro Tech Foods Ltd.","ATFL",1
"Ahmednagar Forgings Ltd.","01/08/98",0
"Akzo Nobel India Ltd.","AKZOINDIA",1
"Alembic Ltd.","ALEMBICLTD",1
"Alfa Laval (India) Ltd.","ALFALAVAL",1
"Alpic Finance Ltd.","01/08/98",0
"Alpine Industries Ltd.","01/08/98",0
"Altos India Ltd.","01/08/98",0
"Ambalal Sarabhai Enterprises Ltd.","01/08/98",0
"Ambuja Cements Ltd.","AMBUJACEM",1
"Amrut Industries Ltd.","01/08/98",0
"Andhra Valley Power Supply Co. Ltd.","01/08/98",0
"Apollo Hospitals Enterprises Ltd.","APOLLOHOSP",1
"Apollo Tyres Ltd.","APOLLOTYRE",1
"Apple Credit Corporation Ltd.","01/08/98",0
"Apple Finance Ltd.","01/08/98",0
"Aptech Ltd. (Erstwhile)","01/08/98",0
"Arvind Ltd.","ARVIND",1
"Arvind Polycot Ltd.","01/08/98",0
"Ashok Leyland Finance Ltd.","01/08/98",0
"Ashok Leyland Ltd.","ASHOKLEY",1
"Asian Coffee Ltd.","01/08/98",0
"Asian Electronics Ltd.","ASIANELEC",1
"Asian Hotels (North) Ltd.","01/08/98",0
"Asian Paints Ltd.","ASIANPAINT",1
"Assam Company India Ltd.","01/08/98",0
"AstraZenca Pharma India Ltd.","ASTRAZEN",1
"Atcom Technologies Ltd.","01/08/98",0
"Atlas Copco (India) Ltd.","01/08/98",0
"Atlas Cycle (Haryana) Ltd.","01/08/98",0
"Atul Ltd.","ATUL",1
"Automotive Axles Ltd.","AUTOAXLES",1
"Autoriders Finance Ltd.","01/08/98",0
"Aventis Pharma Ltd.","AVENTIS",1
"BASF India Ltd.","BASF",1
"BEML Ltd.","BEML",1
"BIL Industries Ltd.","01/08/98",0
"BOC India Ltd.","BOC",1
"BPL Engineering Ltd.","01/08/98",0
"BPL Ltd.","BPL",1
"Bajaj Auto Ltd.","BAJAJ-AUTO",1
"Bajaj Finance Ltd.","BAJFINANCE",1
"Bajaj Hindusthan Ltd.","BAJAJHIND",1
"Bajaj Tempo Ltd.","01/08/98",0
"Balaji Distilleries Ltd.","01/08/98",0
"Ballarpur Industries Ltd.","BALLARPUR",1
"Balrampur Chini Mills Ltd.","BALRAMCHIN",1
"Bank of Baroda","BANKBARODA",1
"Bank of India","BANKINDIA",1
"Bannari Amman Sugars Ltd.","BANARISUG",1
