"Name","Symbol","Auto"
"Indo Gulf Corporation Ltd.","19-03-2003",0
"Steel Authority of India Ltd.","SAIL",1
"Abbott India Ltd.","ABBOTINDIA",0
"Asian Paints Ltd.","ASIANPAINT",1
"Carrier Aircon Ltd. ","01-04-2003",0
"Hindustan Zinc Ltd.","HINDZINC",1
"IDBI Bank Ltd.","IDBI",1
"Oracle Financial Services Software Ltd.","OFSS",0
"Punjab National Bank","PNB",1
"Tata Infotech Ltd.-Merged","TATAINFO_OLD",0
"Gillette India Ltd.","GILLETTE",1
"MphasiS Ltd.","MPHASIS",1
"Silverline Technologies Ltd. -Sus","SILVERLINE_OLD",0
"TVS Motor Company Ltd.","TVSMOTOR",1
"Andhra Bank","ANDHRABANK",1
"Axis Bank Ltd.","AXISBANK",1
"Castrol (India) Ltd.","CASTROL",0
"GAIL (India) Ltd.","GAIL",1
"German Remedies Ltd.","02-05-2003",0
"Madras Cements Ltd.","MADRASCEM",1
"National Aluminium Co. Ltd.","NATIONALUM",0
"Novartis India Ltd.","02-05-2003",0
"Orchid Chemicals & Pharmaceuticals Ltd.","ORCHIDCHEM",0
"Tata Teleservices (Maharashtra) Ltd.","TTML",0
"Bharti Airtel Ltd.","BHARTIARTL",1
"Global Trust Bank Ltd.","02-05-2003",0
"Nestle India Ltd.","NESTLEIND",0
"Nirma Ltd.","NIRMA",1
"Pentamedia Graphics Ltd.","04-08-2003",0
"Union Bank of India","UNIONBANK",1
"Akzo Nobel India Ltd.","AKZOINDIA",1
"Bharat Forge Ltd.","BHARATFORG",1
"Bongaigaon Refinery & Petrochemicals Ltd.","01-03-2004",0
"Bosch Ltd.","BOSCHLTD",1
"Cadila Healthcare Ltd.","CADILAHC",1
"Canara Bank","CANBK",1
"Escorts Ltd.","ESCORTS",0
"Finolex Cables Ltd.","FINCABLES",1
"GTL Ltd.","GTL",1
"GlaxoSmithkline Consumer Healthcare Ltd.","GSKCONS",0
"Himachal Futuristic Communications Ltd.","01-03-2004",0
"IBP Co. Ltd.","01-03-2004",0
"India Cements Ltd.","INDIACEM",0
"Indian Overseas Bank ","IOB",1
"JSW Steel Ltd.","JSWSTEEL",1
"Kochi Refineries Ltd.","01-03-2004",0
"Mangalore Refinery & Petrochemicals Ltd.","MRPL",0
"Maruti Suzuki India Ltd.","MARUTI",1
"Merck Ltd.","MERCK",1
"Morepen Laboratories Ltd.","01-03-2004",0
"NIIT Ltd.-Sus","01-03-2004",0
"Rolta India Ltd.","ROLTA",1
"Syndicate Bank","SYNDIBANK",1
"Thomas Cook (India) Ltd.","THOMASCOOK",1
"Titan Industries Ltd.","TITAN",1
"Digital Globalsoft Ltd.","12-04-2004",0
"Oil & Natural Gas Corporation Ltd.","ONGC",0
"Larsen & Toubro Ltd.-Sus","LT_OLD",0
"Vijaya Bank","VIJAYABANK",1
"Biocon Ltd.","BIOCON",1
"Britannia Industries Ltd.","BRITANNIA",1
"Container Corporation of India Ltd.","10-12-2004",0
"Jaiprakash Associates Ltd.","JPASSOCIAT",1
"Larsen & Toubro Ltd.","LT",1
"Lupin Ltd.","LUPIN",1
"Patni Computer Systems Ltd.","10-12-2004",0
"Sterlite Industries (India) Ltd.","STER",0
"Indian Hotels Co. Ltd.","INDHOTEL",0
"Tata Consultancy Services Ltd.","TCS",0
"Colgate Palmolive (India) Ltd.","COLPAL",0
"Jet Airways (India) Ltd.","JETAIRWAYS",1
"Flextronics Software Systems Ltd.","03-02-2006",0
"CMC Ltd.","CMC",1
"Reliance Capital Ltd.","RELCAPITAL",1
